/problem             ,/plan_properties/number_of_steps,/plan_properties/number_of_actions,/plan_properties/number_of_agents,/simulation/failed_actions                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,/simulation/failed_actions_cardinality,/cnf_model_details/failure_model,/cnf_model_details/conflict_model,/cnf_model_details/conflict_retries_model,/cnf_model_details/max_failures_restriction,/cnf/clauses_num,/cnf/variables_num,/execution_time/cnf_compilation_mils,/execution_time/final_var_state_calc_mils,/execution_time/sat_solving_mils/0,/execution_time/sat_solving_mils/1,/solution/number_of_solutions,/solution/solution_index,/solution/solution_cardinality,/execution_time/sat_solving_mils/2,/execution_time/sat_solving_mils/3,/execution_time/sat_solving_mils/4,/execution_time/sat_solving_mils/5
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                                                                                   ,3.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,3.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,0.0                               ,16.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                                                                                  ,3.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,3.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,16.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                                                                                  ,3.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,3.0                                        ,4706.0          ,1577.0            ,250.0                               ,141.0                                    ,0.0                               ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                                                                                     ,3.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,3.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,0.0                               ,15.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                                                                                     ,3.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,3.0                                        ,4706.0          ,1577.0            ,250.0                               ,140.0                                    ,0.0                               ,16.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                                                                                     ,3.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,3.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,16.0                              ,16.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                                                                                    ,3.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,3.0                                        ,4706.0          ,1577.0            ,250.0                               ,172.0                                    ,16.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                                                                                       ,3.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,3.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,0.0                               ,15.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                                                                                       ,3.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,3.0                                        ,4706.0          ,1577.0            ,250.0                               ,140.0                                    ,16.0                              ,15.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                                                                                       ,3.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,3.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,15.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                                                                                      ,3.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,3.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,0.0                               ,16.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                                                                                         ,3.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,3.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,0.0                               ,16.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED]"                                                                                                                                                                                                                     ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,453.0                                    ,31.0                              ,31.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED]"                                                                                                                                                                                                                    ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,219.0                                    ,15.0                              ,16.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED]"                                                                                                                                                                                                                       ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,109.0                                    ,0.0                               ,16.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED]"                                                                                                                                                                                                                      ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,109.0                                    ,15.0                              ,16.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED]"                                                                                                                                                                                                                         ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,140.0                                    ,16.0                              ,15.0                              ,2.0                          ,1.0                     ,1.0                           ,15.0                              ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED]"                                                                                                                                                                                                                         ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,109.0                                    ,0.0                               ,16.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED]"                                                                                                                                                                                                                         ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,109.0                                    ,15.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED]"                                                                                                                                                                                                                        ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,16.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED]"                                                                                                                                                                                                                        ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,0.0                               ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                  ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,109.0                                    ,16.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                 ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,15.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                    ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,469.0                                    ,32.0                              ,47.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                    ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,156.0                                    ,0.0                               ,15.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                    ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,109.0                                    ,15.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                   ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,0.0                               ,15.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                   ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,15.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                      ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,16.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                      ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,515.0                                    ,31.0                              ,31.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                      ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,313.0                                    ,0.0                               ,15.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                     ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,140.0                                    ,16.0                              ,16.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                     ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,0.0                               ,15.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                        ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,16.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                        ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,328.0                                    ,62.0                              ,47.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                        ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,500.0                                    ,16.0                              ,15.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:04, Agent:fast0,Action:board~p0~fast0~n4~n0~n1=FAILED, Index:09, Agent:fast1,Action:move-up-fast~fast1~n0~n12=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED, Index:00, Agent:slow0-0,Action:move-up-slow~slow0-0~n2~n3=FAILED]"                                                                                                                                                                                                                       ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,15.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:01, Agent:slow0-0,Action:board~p0~slow0-0~n3~n0~n1=FAILED, Index:03, Agent:slow1-0,Action:leave~p4~slow1-0~n4~n1~n0=FAILED]"                                                                                                                                                                                                                   ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,109.0                                    ,15.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
"elevator30.problem" ,12.0                            ,37.0                              ,5.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p4~slow0-0~n1~n1~n0=FAILED, Index:08, Agent:slow2-0,Action:leave~p6~slow2-0~n8~n2~n1=FAILED, Index:02, Agent:slow0-0,Action:move-up-slow~slow0-0~n3~n4=FAILED, Index:03, Agent:slow1-0,Action:leave~p4~slow1-0~n4~n1~n0=FAILED]"                                                                                                                                                                                                                  ,4.0                                   ,"delay one step"                ,"no effects model"               ,"one retry"                              ,4.0                                        ,4706.0          ,1577.0            ,250.0                               ,125.0                                    ,15.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,
